품목일련번호,품목명,업소일련번호,업소명,성상,큰제품이미지,표시앞,표시뒤,의약품제형,색상앞,색상뒤,분할선앞,분할선뒤,크기장축,크기단축,크기두께,이미지생성일자(약학정보원),분류번호,분류명,전문일반구분,품목허가일자,제형코드명,표기내용앞,표기내용뒤,표기이미지앞,표기이미지뒤,표기코드앞,표기코드뒤,변경일자,사업자번호,품목영문명,보험코드,표준코드
201206319,뉴스타틴에이정10밀리그램(아토르바스타틴칼슘삼수화물),19560011,삼진제약(주),흰색의 타원형 필름코팅정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/150825485838600019,SJ,10,타원형,하양,,,,8.27,4.29,3.6,20121003,2180.0,동맥경화용제,전문의약품,20120730,필름코팅정,,,,,,,20260303.0,1248531621,Neustatin A Tab. 10mg,647803660,"8806478036600,8806478036617,8806478036624"
201200216,유나스크정10mg(암로디핀베실산염),19910001,한국유나이티드제약(주),흰색의 팔각형 정제,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/150946451934300019,UT,AM분할선10,팔각형,하양,,,-,11.6,8.4,4,20120208,2140.0,혈압강하제,전문의약품,20120109,나정,,,,,,,20240830.0,3078105244,Unasc Tab. 10mg,644308300,"8806443083004,8806443083011,8806443083028,8806443083035"
201200590,익스트림정20밀리그램(판토프라졸나트륨세스키히드레이트),19620001,신풍제약(주),황색의 장용성제피를 한 타원형 정제,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NCzXnoXF5i,SP 20,,타원형,노랑,,,,9,4.7,3.5,20120319,2320.0,소화성궤양용제,전문의약품,20120126,장용성필름코팅정,,,,,,,20230724.0,1348103819,Extreme tablet 20mg,648506700,"8806485067000,8806485067017,8806485067024"
201200603,플빅스정(클로피도그렐황산염),19950015,한국프라임제약(주),분홍색의 원형 필름코팅정제,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426597943600024,KPP,COP,원형,분홍,,,,8.7,8.7,4.1,20120501,2180.0,동맥경화용제,전문의약품,20120127,필름코팅정,,,,,,,20230309.0,4028524506,Plvix Tab.,663605510,"8806633007704,8806633007711,8806633007728,8806636055108,8806636055115,8806636055122"
201203513,아리토정20밀리그램(아토르바스타틴칼슘수화물),19580012,하나제약(주),흰색 타원형의 필름코팅정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/148665488323600002,HN,A20,타원형,하양,,,,12,6.5,4.75,20120702,2180.0,동맥경화용제,전문의약품,20120427,필름코팅정,,,,,,,20260303.0,1248137632,Arito Tab. 20mg,657804900,"8806578049005,8806578049012,8806578049029,8806578049036"
201203514,아리토정10밀리그램(아토르바스타틴칼슘수화물),19580012,하나제약(주),흰색 타원형의 필름코팅정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1MksuF0DVOY,HN,A10,타원형,하양,,,,9.5,5,3.5,20120702,2180.0,동맥경화용제,전문의약품,20120427,필름코팅정,,,,,,,20260303.0,1248137632,Arito Tab. 10mg,657804910,"8806578049104,8806578049111,8806578049128"
201203607,아토반정10밀리그램(아토르바스타틴칼슘수화물),19620002,동국제약(주),흰색의 타원형 필름코팅정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1OaGlNUXHej,마크,A10,타원형,하양,,,,9.8,5.2,3.5,20120619,2180.0,동맥경화용제,전문의약품,20120430,필름코팅정,"dk,cK",,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147938644048800119,,r0103,,20260303.0,3018508241,Atovan Tablet 10mg (Atorvastatin Calcium Trihydrate),653402570,"8806534025708,8806534025715,8806534025722"
201205038,리록스정(록소프로펜나트륨수화물),19600004,(주)한국파마,흰색 내지 미백색의 원형 정제,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426609286000122,LXQ분할선LXQ,,원형,하양,,-,,9,9,3,20120611,1140.0,해열.진통.소염제,전문의약품,20120523,나정,,,,,,,20240108.0,1248115899,Relox Tab.,653005060,"8806530050605,8806530050612,8806530050629"
201206681,글로포민서방정(메트포르민염산염),20020023,(주)킵스바이오파마,흰색의 장방형정제,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/146032837760700142,KG,500,타원형,하양,,,,18.5,8.8,5.9,20121128,3960.0,당뇨병용제,전문의약품,20120903,서방정,,,,,,,20230721.0,2098126571,Gloformin SR Tab.,693200660,"8806932006606,8806932006613,8806932006620,8806932006637"
201207508,프로빅스정(클로피도그렐황산수소염),20090778,(주)한국피엠지제약,분홍색의 원형 필름코팅정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/146032488838200122,PU,75,원형,분홍,,,,9,9,4,20121129,2180.0,동맥경화용제,전문의약품,20121030,필름코팅정,,,,,,,20240108.0,1348627965,Provix Tab.,697100330,"8806971003307,8806971003314,8806971003321"
201207510,클로피나정(클로피도그렐황산염),19550015,(주)동구바이오제약,분홍색의 원형 필름코팅정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/146032416901200066,DKP,75,원형,분홍,,,,8.5,8.5,3,20121221,2180.0,동맥경화용제,전문의약품,20121030,필름코팅정,,,,,,,20230309.0,1248533615,Clopina Tab.,657305790,"8806573057906,8806573057913,8806573057920"
